pl,mig
Czy Pani rozumie co ja migam?, JA MIGAM - PANI ROZUMIEĆ
Czy Pan rozumie co ja migam?, JA MIGAM - PAN ROZUMIEĆ
Czy rozumiesz co ja migam?, JA MIGAM - TY ROZUMIEĆ
Czy możesz powtórzyć nazwisko?, TY NAZWISKO POWTÓRZYĆ MOŻNA
Ja nie umiem migać., JA MIGAĆ NIE UMIEĆ
Ja nie rozumiem co ty do mnie migasz., JA NIE ROZUMIEĆ CIEBIE
Jak ta Pani nazywa się?, TA PANI NAZWISKO JAK
Jak ten Pan nazywa się?, TEN PAN NAZWISKO JAK
Ja nie mogę powiedzieć nazwiska tej Pani., JA NIE POWIEDZIEĆ NAZWISKO PANI
Ja nie mogę powiedzieć nazwiska tej Pani., JA NIE POWIEDZIEĆ NAZWISKO ONA
Ja nie mogę powiedzieć nazwiska tej Pani., JA NIE POWIEDZIEĆ NAZWISKO JEJ
Dobry wieczór czy możemy porozmawiać?, DOBRY WIECZÓR JA ROZMAWIAĆ MOŻNA
Czy ten pan był wysoki?, PAN WYSOKI BYŁ
Ja na pewno byłam w domu., JA DOM NA PEWNO BYŁO
Tu jest bezpiecznie., TU BEZPIECZNIE
Ja jestem chuda., JA CHUDA JEST
Tak ja pracuję., TAK JA PRACA
Pani jest młoda., PANI MŁODA JEST
Ile kosztuje znaczek opłaty skarbowej?, ZNACZEK OPŁATA SKARBOWA KOSZT ILE
Trzeba zapłacić podatek leśny i rolny., PODATEK ROLNY LEŚNY PŁACIĆ TRZEBA
Trzeba zapłacić podatek leśny i rolny., PODATEK ROLNY LEŚNY PŁACIĆ MUSIEĆ
Proszę o wydanie zaświadczenia o opłacaniu składek na ubezpieczenie społeczne rolników., ZAŚWIADCZENIE OPŁATA SKŁADEK UBEZPIECZENIE SPOŁECZNE ROLNIKÓW JA POTRZEBA-PROSIĆ DAĆ MI
Do kiedy jest termin składania PIT?, PIT ZŁOŻYĆ TERMIN JAKI
Do kiedy jest termin składania PIT?, PIT ZŁOŻYĆ DATA JAKA
Czy w Urzędzie Skarbowym pracuje tłumacz języka migowego?, URZĄD SKARBOWY TŁUMACZ JĘZYK MIGOWY PRACOWAĆ JEST
Ta Pani się pomyliła., TA PANI POMYŁKA BYŁO
Trzeba zapłacić za dowód osobisty., DOWÓD OSOBISTY PŁACIĆ POTRZEBA
Czy ma Pani zdjęcie paszportowe?, PANI ZDJĘCIE PASZPORT MA
Kto podpisał oświadczenie?, OŚWIADCZENIE PODPIS KTO
Proszę napisać numer konta., TY NUMER KONTA NAPISAĆ PROSZĘ
Proszę tu napisać dzisiejszą datę., DATA DZISIAJ NAPISAĆ PROSZĘ
Potrzeba napisać numer dowodu., NUMER DOWÓD NAPISAĆ POTRZEBA
Czy ma Pani rodzinę?, PANI RODZINA MASZ
Czy ma Pan rodzinę?, PAN RODZINA MASZ
Czy masz rodzinę?, TY RODZINA MASZ
Czy Pan jest kawalerem?, PAN KAWALER
Czy jesteś kawalerem?, TY KAWALER
Czy Pani jest panną?, PANI PANNA
Czy jesteś panną?, TY PANNA
Czy ma Pani krewnych?, PANI KREWNI MASZ
Czy ma Pan krewnych?, PAN KREWNI MASZ
Czy masz krewnych?, TY KREWNI MASZ
Czy ma Pani dzieci?, PANI DZIECI MASZ
Czy ma Pan dzieci?, PAN DZIECI MASZ
Czy masz dzieci?, TY DZIECI MASZ
Ja mam córkę i syna., JA CÓRKA SYN MIEĆ
Ja nie mam rodzeństwa., JA RODZEŃSTWO NIE MIEĆ
Babcia i dziadek mieszkają na wsi., BABCIA DZIADEK MIESZKAĆ WIEŚ
Mama i tato pracują w gminie., MAMA TATA PRACA GMINA
Dzień dobry Pani., DZIEŃ DOBRY
Dzień dobry Panu., DZIEŃ DOBRY
Jak się Pani nazywa?, PANI NAZWISKO
Jak się Pan nazywa?, PAN NAZWISKO
Jak się nazywasz?, TY NAZWISKO
Ja nazywam się., JA NAZWISKO
Czy Pani mnie dobrze widzi?, PANI DOBRZE WIDZI
Czy mnie dobrze widzisz?, TY DOBRZE WIDZI
Ja ciebie widzę., JA WIDZIEĆ CIEBIE
Jaki ma Pani numer domu?, PANI DOM NUMER JAKI
Jaki ma Pan numer domu?, PAN DOM NUMER JAKI
Jaki masz numer domu?, TY DOM NUMER JAKI
Gdzie Pani mieszka?, PANI MIESZKAĆ GDZIE
Gdzie Pan mieszka?, PAN MIESZKAĆ GDZIE
Gdzie mieszkasz?, TY MIESZKAĆ GDZIE
Ja mieszkam w Rzeszowie., JA MIESZKAĆ RZESZÓW
Na jakiej ulicy Pani mieszka?, JA MIESZKAĆ ULICA
Na jakiej ulicy Pan mieszka?, JA MIESZKAĆ ULICA
Jaki ma Pani adres?, TY ADRES JAKI
Jaki ma Pan adres?, TY ADRES JAKI
Czy ma Pani zasiłek?, PANI ZASIŁEK MA
To jest wniosek na zasiłek., TO WNIOSEK ZASIŁEK JEST
Ja nie mam dokumentów., JA DOKUMENTY NIE MIEĆ
Która jest godzina?, GODZINA KTÓRA
Ja nie mam zegarka., JA ZEGAREK NIE MAM
Czy masz komputer w domu?, TY KOMPUTER DOM MASZ
Ja mam Internet., JA INTERNET MAM
Jutro mam spotkanie w zakładzie pracy., JUTRO SPOTKANIE ZAKŁAD PRACY BĘDZIE
Czy masz klucze do domu?, TY KLUCZ DOM MASZ
W zakładzie pracy była kontrola., ZAKŁAD PRACA KONTROLA BYŁA
Ja lubię pracować na komputerze., JA PRACA KOMPUTER LUBIĆ
Gdzie można załatwić dodatek mieszkaniowy?, DODATEK MIESZKANIE ZAŁATWIĆ GDZIE
Ja nie umiem wypełnić wniosku o dodatek mieszkaniowy., WNIOSEK WYPEŁNIĆ JAK JA NIE WIEM
Ja nie umiem wypełnić wniosku o dodatek mieszkaniowy., WNIOSEK WYPEŁNIĆ JAK JA NIE UMIEM
To jest fundusz remontowy., TO FUNDUSZ REMONTOWY JEST
Ja mam rentę socjalną., JA RENTA SOCJALNA MAM
Czy można to skreślić?, TO SKREŚLIĆ MOŻNA
Gdzie jest biuro Straży Miejskiej?, STRAŻ MIEJSKA BIURO GDZIE
Trzeba pomagać osobom głuchoniewidomym., GŁUCHONIEWIDOMYM OSOBOM POMAGAĆ RZEBA
To wolne miejsce., TO MIEJSCE WOLNE
Czy ja mam płacić grzywnę?, JA GRZYWNA PŁACIĆ JAK
Kiedy była interwencja policji?, POLICJA INTERWENCJA KIEDY BYŁO
Ja lubię oglądać telewizję., JA TELEWIZJA OGLĄDAĆ LUBIĆ
Do głuchych trzeba pisać SMS., DLA GŁUSI SMS PISAĆ
Czy to jest Pani telefon?, PANI TELEFON
Czy to jest Pana telefon?, PANA TELEFON
Czy to jest twój telefon?, TWÓJ TELEFON
Czy widziałaś marsz w telewizji?, TY TELEWIZJA MARSZ OGLĄDAĆ BYŁO
Proszę napisać adres e-mail., TY E-MAIL JAKI TY PISAĆ TU
Ta niebezpieczna osoba była aresztowana., OSOBA ARESZT BYŁO ONA NIEBEZPIECZNA
Kiedy oddadzą moje dokumenty?, MOJE DOKUMENTY ZWROT KIEDY
Znalazłam dowód osobisty., JA DOWÓD OSOBISTY ZNALEŹĆ
Ja szukam pracy., JA PRACA SZUKAĆ
Skradziono mi paszport., MÓJ PASZPORT KRADZIEŻ
To jest zaświadczenie o zarobkach., TO ZAŚWIADCZENIE ZAROBKI
Kiedy można odebrać paszport?, JA PASZPORT ODBIÓR KIEDY
Ja zgubiłam dowód osobisty i paszport., JA DOWÓD PASZPORT ZGUBIĆ
Proszę dać mi dowód., TY DOWÓD DAĆ
Ja poszukam dokumenty w domu., JA DOKUMENTY DOM SZUKAĆ
Proszę przyjechać dzisiaj do pracy., TY PRACA DZISIAJ PRZYJECHAĆ
Gdzie Pani pracuje?, PANI PRACA GDZIE
Ja jestem bezrobotny., JA BEZROBOTNY JEST
Ja jestem bezrobotny., JA BEZROBOTNY BYĆ
Proszę złożyć dokumenty., PROSIĆ DOKUMENTY ZŁOŻYĆ
Ja mam emeryturę., JA EMERYTURA MAM
Ja mam emeryturę., JA EMERYTURA MIEĆ
Czy Pani jest rencistką?, PANI RENTĘ MIEĆ
Czy Pani jest rencistką?, PANI RENTĘ MA
Gdzie można załatwić legitymację osoby niepełnosprawnej?, LEGITYMACJA NIEPEŁNOSPRAWNY ZAŁATWIC GDZIE
Czy ta Pani pomaga osobom niesłyszącym załatwiać sprawy w urzędach?, SPRAWY URZĄD ZAŁATWIĆ POMAGA PANI
Na tej ulicy jest niebezpiecznie., TU ULICA NIEBEZPIECZNIE
O której godzinie było włamanie?, WŁAMAĆ GODZINA KTÓRA BYŁO
Jaka dzisiaj jest pogoda?, POGODA DZISIAJ JAKA
Proszę siedzieć spokojnie., TY SPOKÓJ SIEDŹ
Ja nie lubię deszczu., DESZCZ PADAĆ JA NIE LUBIĆ
Gdzie jest wyjście?, DRZWI WYJŚCIE GDZIE
To są drzwi wejściowe., TO DRZWI WEJŚCIE
To są drzwi wejściowe., TO DRZWI WEJŚĆ
Włamano się do mojego domu., MÓJ DOM WŁAMANIE BYŁO
W mieszkaniu jest bezpiecznie., MIESZKANIE BEZPIECZNIE JEST
Jakie Pani ma obywatelstwo?, PANI OBYWATELSTWO JAKIE
Jakie Pan ma obywatelstwo?, PAN OBYWATELSTWO JAKIE
Jakie masz obywatelstwo?, TY OBYWATELSTWO JAKIE
Ja mam obywatelstwo polskie., JA POLSKA OBYWATEL
To jest godło Polski., TO GODŁO POLSKA
Jakiej Pani jest narodowości?, TY NARODOWOŚĆ JAKIE
Jakiej Pani jest narodowości?, PANI NARODOWOŚĆ JAKIE
To jest polska flaga., TO FLAGA POLSKA
Jak nazywa się prezydent Polski?, PREZYDENT POLSKI NAZWISKO JAKIE
Brat pracuje w Urzędzie Marszałkowskim., BRAT PRACA URZĄD MARSZAŁKOWSKI
Ile lat pracuje prezes w tym zakładzie?, PREZES PRACA TEN ZAKŁAD ILE LAT
Czy Pani jest głucha?, PANI GŁUCHY
Czy Pan jest głuchy?, PAN GŁUCHY
Czy Pani jest głuchoniema?, PANI GŁUCHY
Czy Pan jest głuchoniemy?, PAN GŁUCHY
Czy Pani jest słysząca?, PANI SŁYSZEĆ
Czy Pan jest słyszący?, PAN SŁYSZEĆ
Czy jesteś słyszący?, TY SŁYSZEĆ
Czy jesteś słyszącą?, TY SŁYSZEĆ
Czy Pani ma orzeczenie o niepełnosprawności?, PANI ORZECZENIE NIEPEŁNOSPRAWNY MIEC
Czy Pan ma orzeczenie o niepełnosprawności?, PAN ORZECZENIE NIEPEŁNOSPRAWNY MIEC
Czy masz orzeczenie o niepełnosprawności?, TY ORZECZENIE NIEPEŁNOSPRAWNY MIEC
Czy Pani ma orzeczenie o niepełnosprawności?, TY INWALIDA GRUPA JAK WYGLĄDA
Czy Pan ma orzeczenie o niepełnosprawności?, TY INWALIDA GRUPA JAK WYGLĄDA
Czy masz orzeczenie o niepełnosprawności?, TY INWALIDA GRUPA JAK WYGLĄDA
Czy Pani umie pisać?, PANI PISAĆ UMIEĆ
Czy Pan umie pisać?, PAN PISAĆ UMIEĆ
Czy umiesz pisać?, TY PISAĆ UMIEĆ
Czy Pani umie czytać?, PANI CZYTAĆ UMIEĆ
Czy Pan umie czytać?, PAN CZYTAĆ UMIEĆ
Czy umiesz czytać?, TY CZYTAĆ UMIEĆ
Proszę się tu podpisać., TY PODPISAĆ TU 
Proszę się tu podpisać., PANI PODPISAĆ TU 
Proszę się tu podpisać., PAN PODPISAĆ TU 
Czy Pani otrzymała wezwanie?, PANI WEZWANIE MASZ OTRZYMAĆ
Czy Pan= otrzymał= wezwanie?, PAN WEZWANIE MASZ OTRZYMAĆ 
Czy otrzymałeś wezwanie?, TY WEZWANIE MASZ OTRZYMAĆ  
Czy otrzymałaś wezwanie?, TY WEZWANIE MASZ OTRZYMAĆ 
Czy Pani przeczytała wezwanie?, PANI WEZWANIE CZYTAĆ BYŁO
Czy Pan przeczytała wezwanie?, PAN WEZWANIE CZYTAĆ BYŁO
Czy przeczytałaś wezwanie?, TY WEZWANIE CZYTAĆ BYŁO
Czy przeczytałeś wezwanie?, TY WEZWANIE CZYTAĆ BYŁO
Ja nie mam orzeczenia o niepełnosprawności., JA ORZECZENIE NIEPEŁNOSPRAWNY NIE MIEC
Proszę odpis mojego aktu urodzenia., ODPIS AKT URODZENIA MOJ POTRZEBA PROSZĘ
Jaki jest Pani stan cywilny?, PANI PANNA/MĘŻATKA
Ja jestem w separacji dwa lata., JA SEPARACJA DWA LATA BYĆ
Jak nazywa się Kierownik Urzędu Stanu Cywilnego?, KIEROWNIK URZĄD STAN CYWILNY NAZWISKO JAK
Jaki jest termin ślubu?, ŚLUB TERMIN KIEDY
Jaki jest termin ślubu?, ŚLUB TERMIN JAKI
Ja potrzebuję akt zgonu., JA AKT ZGONU POTRZEBA
Ja nie chcę rozwodu., JA ROZWÓD NIE CHCIEĆ
