pl,mig
TRZEBA ZROBIĆ REZONANS., TY REZONANS ZROBIĆ MUSIEĆ
TRZEBA ZROBIĆ TOMOGRAF., TY TOMOGRAF ZROBIĆ MUSIEĆ
JA JESTEM ZMĘCZONA., JA ZMĘCZENIE
MAM PROBLEMY Z CIŚNIENIEM., JA CIŚNIENIE PROBLEM
JAKIE MASZ CIŚNIENIE KRWI?, TY CIŚNIENIE KRWI JAK WYGLĄDAĆ
OPERACJA JEST RYZYKOWNA., OPERACJA RYZYKO JEST
TRZEBA KUPIĆ KROPLE DO OKA., JA KROPLE OKO KUPIĆ MUSIEĆ
TRZEBA KUPIĆ KROPLE UCHA., JA KROPLE UCHO KUPIĆ MUSIEĆ
TRZEBA KUPIĆ KROPLE NOSA., JA KROPLE NOS KUPIĆ MUSIEĆ
JESTEM W SZPITALU., JA SZPITAL JEST
PANI MUSI MIEĆ OPERACJĘ., TY OPERACJA MUSIEĆ
PAN MUSI MIEĆ OPERACJĘ., TY OPERACJA MUSIEĆ
JAKIE MA PANI STANOWISKO PRACY?, TY PRACA STANOWISKO JAK WYGLĄDA
JAKIE MA PAN STANOWISKO PRACY?, TY PRACA STANOWISKO JAK WYGLĄDA
CO ROBISZ W PRACY?, TY PRACA ROBIĆ CO?
JA JESTEM BEZROBOTNY., NIE MAM PRACA
JA NIE PRACUJĘ JESTEM NA RENCIE., NIE MAM PRACA MAM RENTA
JA NIE PRACUJĘ JESTEM NA EMERYTURZE., NIE MAM PRACA MAM EMERYTURA
JA MAM II GRUPA RENTY., II GRUPA RENTA JA MIEĆ
JA MAM III GRUPA RENTY., III GRUPA RENTA JA MIEĆ
JA MAM 2 GRUPA RENTY., II GRUPA RENTA JA MIEĆ
JA MAM 3 GRUPA RENTY., III GRUPA RENTA JA MIEĆ
JA MAM III GRUPĘ NIE MAM RENTY., JA III GRUPA MIEĆ RENTA NIE MIEĆ
JA MAM 3 GRUPĘ NIE MAM RENTY., JA III GRUPA MIEĆ RENTA NIE MIEĆ
JA MAM ZASIŁEK DLA BEZROBOTNYCH., JA ZASIŁEK BEZROBOTNY MIEĆ
ILE MASZ RENTY?, TY RENTA ILE
ILE MASZ EMERYTURY?, TY EMERYTURA ILE
ILE MASZ LAT PRACY?, TY PRACA LAT ILE
JA PRACUJĘ 20 LAT., JUŻ 20 LAT PRACA
JA SZUKAM PRACY., JA PRACA SZUKAĆ
JAKI PANI MA STOPIEŃ NIEPEŁNOSPRAWNOŚCI?, TY INWALIDA STOPIEŃ JAK WYGLĄDA
JAKI PAN MA STOPIEŃ NIEPEŁNOSPRAWNOŚCI?, TY INWALIDA STOPIEŃ JAK WYGLĄDA
PROSZĘ POKAZAĆ DOWÓD OSOBISTY., PROSIĆ TY DOWÓD POKAZAĆ
PROSZĘ DAĆ DOWÓD OSOBISTY., PROSIĆ TY DOWÓD DAĆ
PROSZĘ POKAZAĆ UBEZPIECZENIE., PROSIĆ TY UBEZPIECZENIE POKAZAĆ
PROSZĘ DAĆ UBEZPIECZENIE., PROSIĆ TY UBEZPIECZENIE DAĆ
PROSZĘ SIĘ TU POŁOŻYĆ., PROSIĆ TY POŁOŻYĆ TU
PROSZĘ IŚĆ DO GABINETU BADAŃ., PROSIĆ TY GABINET BADANIE IŚĆ
PANI BĘDZIE BADANA., TY BADANIE MIEĆ
PAN BĘDZIE BADANY., TY BADANIE MIEĆ
PANI BĘDZIE MIEĆ BADANIE KRWI., TY KREW BADANIE MIEĆ
PAN BĘDZIE MIEĆ BADANIE KRWI., TY KREW BADANIE MIEĆ
PANI BĘDZIE MIEĆ BADANIE MOCZU., TY MOCZ BADANIE MIEĆ
PAN BĘDZIE MIEĆ BADANIE MOCZU., TY MOCZ BADANIE MIEĆ
PANI MUSI ZOSTAĆ W SZPITALU., TY SZPITAL ZOSTAĆ MUSIEĆ
PAN MUSI ZOSTAĆ W SZPITALU., TY SZPITAL ZOSTAĆ MUSIEĆ
CZY PANI MA RODZINĘ?, TY RODZINA MIEĆ
CZY PAN MA RODZINĘ?, TY RODZINA MIEĆ
KOGO MAMY ZAWIADOMIĆ?, TY RODZINA MIEĆ MY ZAWIADOMIĆ MUSIEĆ
KOGO MAMY ZAWIADOMIĆ?, TY KOLEGA MIEĆ MY ZAWIADOMIĆ MUSIEĆ
PROSZĘ PODAĆ KONTAKT DO RODZINY., TY TELEFON RODZINY MIEĆ
PROSZĘ PODAĆ KONTAKT DO RODZINY., TY TELEFON RODZINY DAĆ
PROSZĘ PODAĆ KONTAKT DO RODZINY., TY SMS RODZINY MIEĆ
PROSZĘ PODAĆ KONTAKT DO RODZINY., TY SMS RODZINY DAĆ
PROSZĘ ZOSTAWIĆ UBRANIE W SZATNI., TY UBRANIE SZATNIA ZOSTAWIĆ
PROSZĘ UBRANIE DAĆ RODZINIE., TY UBRANIE RODZINIE DAĆ
PANI MUSI MIEĆ OPERACJĘ., TY OPERACJA MIEĆ MUSIEĆ
PAN MUSI MIEĆ OPERACJĘ., TY OPERACJA MIEĆ MUSIEĆ
JA SŁABO WIDZĘ I NOSZĘ OKULARY., SŁABO WIDZĘ DLATEGO OKULARY MIEĆ
JA SŁABO SŁYSZĘ I NOSZĘ APARAT SŁUCHOWY., SŁABO SŁYSZĘ DLATEGO APARAT MIEĆ
PANI MUSI CZEKAĆ NA KONSULTACJĘ Z LEKARZEM., TY CZEKAĆ LEKARZ SPOTKANIE
PAN MUSI CZEKAĆ NA KONSULTACJĘ Z LEKARZEM., TY CZEKAĆ LEKARZ SPOTKANIE
DO LEKARZA MOŻNA REJESTROWAĆ SIĘ TELEFONICZNIE., LEKARZ REJESTRACJA TEL. MOŻNA
DO LEKARZA MOŻNA REJESTROWAĆ SIĘ SMS., LEKARZ REJESTRACJA SMS MOŻNA
DO LEKARZA MOŻNA REJESTROWAĆ SIĘ E-MAIL., LEKARZ REJESTRACJA EMAIL MOŻNA
LEKARZ ZA CHWILE PRZYJDZIE PROSZĘ CZEKAĆ., PROSIĆ TY CZEKAĆ LEKARZ ZA CHWILĘ PRZYJŚĆ
PIELĘGNIARKA ZA CHWILE PRZYJDZIE PROSZĘ CZEKAĆ., PROSIĆ TY CZEKAĆ PIELĘGNIARKA ZA CHWILĘ PRZYJŚĆ
PANI JEST CHORA NA GRYPĘ., TY CHOROBA GRYPA
PAN JEST CHORY NA GRYPĘ., TY CHOROBA GRYPA
PANI JEST CHORA NA ANGINĘ,. TY CHOROBA ANGINA
PAN JEST CHORA NA ANGINĘ., TY CHOROBA ANGINA
PAPIEROSY NISZCZĄ ZDROWIE., PAPIEROSY ZDROWIE NISZCZYĆ
ALKOHOL NISZCZY ZDROWIE., ALKOHOL ZDROWIE NISZCZYĆ
NARKOTYKI NISZCZĄ ZDROWIE., NARKOTYKI ZDROWIE NISZCZYĆ
PANI MA REUMATYZM., TY CHOROBA REUMATYZM
PAN MA REUMATYZM., TY CHOROBA REUMATYZM
PANI MA NOWOTWÓR-RAK., TY CHOROBA RAK
PAN MA NOWOTWÓR-RAK., TY CHOROBA RAK
MUSZĘ ZANIEŚĆ WYNIKI BADAŃ LEKARZOWI., WYNIKI BADANIE MOJE DO LEKARZ DAĆ MUSZĘ
MUSZĘ ZANIEŚĆ WYNIKI BADAŃ LEKARZOWI., WYNIKI BADANIE MOJE LEKARZ DAĆ MUSZĘ
PROSZĘ JUTRO PRZYNIEŚĆ AUDIOGRAM., TY AUDIOGRAM JUTRO PRZYNIEŚĆ
KIEDY PANI WYKONA BADANIE KRWI?, TY BADANIE KRWI WYKONASZ KIEDY
KIEDY PAN WYKONA BADANIE KRWI?, TY BADANIE KRWI WYKONASZ KIEDY
KIEDY PANI PRZYNIESIE SKIEROWANIE?, TY SKIEROWANIE PRZYNIEŚĆ KIEDY
KIEDY PAN PRZYNIESIE SKIEROWANIE?, TY SKIEROWANIE PRZYNIEŚĆ KIEDY
GDZIE JEST SZPITAL?, SZPITAL GDZIE
GDZIE JEST APTEKA?, APTEKA GDZIE
GDZIE JEST SZATNIA W SZPITALU?, SZPITAL W TYM SZATNIA GDZIE
GDZIE JEST SZATNIA W PRZYCHODNI?, PRZYCHODNIA W TYM SZATNIA GDZIE
PANI JEST POWAŻNIE CHORA., TY CHOROBA POWAŻNIE
PAN JEST POWAŻNIE CHORY., TY CHOROBA POWAŻNIE
JA ZŁAMAŁAM NOGĘ NA ULICY., JA NOGA ULICA ZŁAMAĆ
JA ZŁAMAŁAM RĘKĘ NA ULICY., JA RĘKA ULICA ZŁAMAĆ
JA ZŁAMAŁEM NOGĘ NA ULICY., JA NOGA ULICA ZŁAMAĆ
JA ZŁAMAŁEM RĘKĘ NA ULICY., JA RĘKA ULICA ZŁAMAĆ
NIE MAM TABLETEK PRZECIWBÓLOWYCH., JA TABLETKI PRZECIW BÓL NIE MIEĆ
CZY PANI DOBRZE WIDZI I SŁYSZY?, TY WIDZIEĆ SŁYSZEĆ DOBRZE
CZY PAN DOBRZE WIDZI I SŁYSZY?, TY WIDZIEĆ SŁYSZEĆ DOBRZE
PANI POTRZEBNA JEST REHABILITACJA., TY REHABILITACJA MUSIEĆ
PANU POTRZEBNA JEST REHABILITACJA., TY REHABILITACJA MUSIEĆ
PANI BĘDZIE MIEĆ KROPLÓWKĘ., TY KROPLÓWKA MIEĆ
PAN BĘDZIE MIEĆ KROPLÓWKĘ., TY KROPLÓWKA MIEĆ
PANI BĘDZIE MIEĆ ZASTRZYKI., TY ZASTRZYKI MIEĆ
PAN BĘDZIE MIEĆ ZASTRZYKI., TY ZASTRZYKI MIEĆ
PANI MA GRYPĘ I MUSI CODZIENNIE BRAĆ TABLETKI., TY GRYPA MIEĆ CODZIENNIE TABLETKI BRAĆ
PAN MA GRYPĘ I MUSI CODZIENNIE BRAĆ TABLETKI., TY GRYPA MIEĆ CODZIENNIE TABLETKI BRAĆ
PANI MA ANGINĘ I MUSI CODZIENNIE BRAĆ TABLETKI., TY ANGINA MIEĆ CODZIENNIE TABLETKI BRAĆ
PAN MA ANGINĘ I MUSI CODZIENNIE BRAĆ TABLETKI., TY ANGINA MIEĆ CODZIENNIE TABLETKI BRAĆ
MA PANI TYDZIEŃ ZWOLNIENIA., TY TYDZIEŃ ZWOLNIENIE MIEĆ
MA PAN TYDZIEŃ ZWOLNIENIA., TY TYDZIEŃ ZWOLNIENIE MIEĆ
NA RECEPCIE MA PANI ZAPISANE TABLETKI NA GARDŁO., RECEPTA TU ZAPISAĆ TY MIEĆ TABLETKI GARDŁO
NA RECEPCIE MA PAN ZAPISANE TABLETKI NA GARDŁO., RECEPTA TU ZAPISAĆ TY MIEĆ TABLETKI GARDŁO
NA RECEPCIE MA PANI ZAPISANE LEKI NA GARDŁO., RECEPTA TU ZAPISAĆ TY MIEĆ TABLETKI GARDŁO
NA RECEPCIE MA PAN ZAPISANE LEKI NA GARDŁO., RECEPTA TU ZAPISAĆ TY MIEĆ TABLETKI GARDŁO
PANI JEST W CIĄŻY., TY CIĄŻA JEST
KIEDY PANI BĘDZIE RODZIĆ?, TY PORÓD KIEDY
PANI MA TERMIN PORODU NA 15 GRUDZIEŃ., TY PORÓD GRUDZIEŃ 15
PANI MA TERMIN PORODU NA 28 GRUDZIEŃ., TY PORÓD GRUDZIEŃ 28
PANI MA TERMIN PORODU NA 10 GRUDZIEŃ., TY PORÓD GRUDZIEŃ 10
MUSI PANI ZROBIĆ BADANIA KRWI MOCZU., TY BADANIE KRWI MOCZ MUSIEĆ
CZY OSOBA NIEPEŁNOSPRAWNA MA ULGĘ NA LEKI?, OSOBA NIEPEŁNOSPRAWNOŚĆ LEKI ULGA MOŻNA
PRZED WEJŚCIEM DO GABINETU LEKARZA PROSZĘ ZAPUKAĆ., GABINET LEKARZ ZAPUKAĆ WCZEŚNIEJ
W PIĄTEK PÓJDĘ DO LEKARZA., LEKARZ PIĄTEK PÓJŚĆ
KIEDY PRZYJMUJE LEKARZ RODZINNY?, LEKARZ RODZINNY PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE NEUROLOG?, NEUROLOG PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE STOMATOLOG?, STOMATOLOG PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE REUMATOLOG?, REUMATOLOG PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE CHIRURG?, CHIRURG PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE ORTOPEDA?, ORTOPEDA PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE GINEKOLOG?, GINEKOLOG PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE LARYNGOLOG?, LARYNGOLOG PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE PSYCHIATRA?, PSYCHIATRA PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE OKULISTA?, OKULISTA PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE KARDIOLOG?, KARDIOLOG PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE DERMATOLOG?, DERMATOLOG PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE PEDIATRA?, PEDIATRA PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE GASTROLOG?, GASTROLOG PRZYJMOWAĆ KIEDY
KIEDY PRZYJMUJE UROLOG?, UROLOG PRZYJMOWAĆ KIEDY
TA PANI SŁABO SIĘ CZUJE I MUSZĘ ZAWIADOMIĆ POGOTOWIE., ONA CZUĆ SŁABO JA POGOTOWIE ZAWIADOMIĆ MUSZĘ
TEN PAN SŁABO SIĘ CZUJE I MUSZĘ ZAWIADOMIĆ POGOTOWIE., ON CZUĆ SŁABO JA POGOTOWIE ZAWIADOMIĆ MUSZĘ
TA PANI SŁABO SIĘ CZUJE I MUSZĘ ZAWIADOMIĆ LEKARZA., ONA CZUĆ SŁABO JA LEKARZA ZAWIADOMIĆ MUSZĘ
TEN PAN SŁABO SIĘ CZUJE I MUSZĘ ZAWIADOMIĆ LEKARZA., ON CZUĆ SŁABO JA LEKARZA ZAWIADOMIĆ MUSZĘ
CO PANIĄ BOLI?, TY BOLI CO
CO PANA BOLI?, TY BOLI CO
CO PANIĄ BOLI?, TY BOLI GDZIE
CO PANA BOLI?, TY BOLI GDZIE
CZY PANI MA SKIEROWANIE?, TY SKIEROWANIE MIEĆ
CZY PAN MA SKIEROWANIE?, TY SKIEROWANIE MIEĆ
CZY PANI JEST UBEZPIECZONA?, TY UBEZPIECZENIE MIEĆ
CZY PAN JEST UBEZPIECZONY?, TY UBEZPIECZENIE MIEĆ
ZANIEŚ SKIEROWANIE DO REJESTRACJI., SKIEROWANIE REJESTRACJA DAĆ
JA NIE ZNAM JĘZYKA MIGOWEGO., JĘZYK MIGOWY JA NIE ZNAĆ
JA NIE ZNAM JĘZYKA MIGOWEGO., JĘZYK MIGOWY JA NIE UMIEĆ
PROSZĘ POKAZAĆ MI DOWÓD OSOBISTY., TWÓJ DOWÓD OSOBISTY POKAŻ MI
JAKI PANI MA ADRES?, TY ADRES JAKI
JAKI PAN MA ADRES?, TY ADRES JAKI
GDZIE PANI MIESZKA?, TY MIESZKAĆ GDZIE
GDZIE PAN MIESZKA?, TY MIESZKAĆ GDZIE
W DOWODZIE MAM NAPISANY ADRES., DOWÓD OSOBISTY ADRES PISAĆ JEST
PROSZĘ NAPISAĆ MI SWÓJ ADRES., TY PISAĆ TU ADRES TWÓJ
JA MIESZKAM W RZESZOWIE., JA RZESZÓW MIESZKAĆ
WITAM CO SŁYCHAĆ?, WITAM CO SŁYCHAĆ
DZIĘKUJE DOBRZE., DOBRZE DZIEKOWAĆ
DZIĘKUJĘ DO WIDZENIA., DZIĘKOWAĆ DO WIDZENIA
CZY PANI PRACUJE?, TY PRACA MA
CZY PAN PRACUJE?, TY PRACA MA
JA PRACUJĘ W SPÓŁDZIELNI., JA PRACA SPÓŁDZIELNIA
JA PRACUJĘ W ZAKŁADZIE PRACY CHRONIONEJ., JA PRACA ZAKŁAD OCHRONA
JAK SIĘ PANI NAZYWA?, NAZWISKO TY
JAK SIĘ PAN NAZYWA?, NAZWISKO TY
NAZYWAM SIĘ NOWAK., JA NAZWISKO N O W A K
NAZYWAM SIĘ KOWALSKI., JA NAZWISKO K O W A L S K I
JAK PANI MA NA IMIĘ?, IMIĘ TY
JAK PAN MA NA IMIĘ?, IMIĘ TY
MAM NA IMIĘ ANNA., JA IMIĘ A N N A
MAM NA IMIĘ TOMASZ., JA IMIĘ T O M A S Z
MAM NA IMIĘ JAN., JA IMIĘ J A N
MAM NA IMIĘ KACPER., JA IMIĘ K A C P E R
MAM NA IMIĘ OLA., JA IMIĘ O L A
JAK SIĘ PANI CZUJE?, CZUĆ JAK TY
JAK SIĘ PAN CZUJE?, CZUĆ JAK TY
PROSZĘ USIĄŚĆ., TY USIĄŚĆ TU
CZY PANI ROZUMIE CO MÓWIĘ?, JA MÓWIĆ TY ROZUMIEĆ
CZY PAN ROZUMIE CO MÓWIĘ?, JA MÓWIĆ TY ROZUMIEĆ
CZY TY JESTEŚ GŁUCHA?, GŁUCHA TY
CZY TY JESTEŚ GŁUCHY?, GŁUCHY TY
PROSZĘ TU NAPISAĆ SWOJE NAZWISKO I IMIĘ., NAZWISKO IMIĘ TWOJE NAPISZ TU
CZY PANI UMIE MIGAĆ?, TY UMIESZ MIGAĆ
CZY PAN UMIE MIGAĆ?, TY UMIESZ MIGAĆ
PROSZĘ DO MNIE MIGAĆ POWOLI., TY MIGAĆ POWOLI
