pl,mig
Osoby głuche nie idą do wojska.,Głusi wojsko nie można
Czekam na wypis ze szpitala.,Szpital wypis ja czekać
Ja nie mam pracy i potrzebuję zasiłku.,Ja praca nie mieć ja zasiłek potrzeba
Moje dzieci nie mają kurtek na zimę.,Moje dzieci kurtek zima nie mieć
Czy mops może dofinansować obiady dla moich dzieci w szkole?,Mops dofinansowanie obiad dzieci moje można
Czy mogę otrzymać dofinansowanie na zakup podręczników i przyborów szkolnych?,Książka szkoła dofinansowanie można
Jestem chora i proszę o dofinansowanie do zakupu lekarstw.,Ja choroba dofinansowanie leki można
Jestem chory i proszę o dofinansowanie do zakupu lekarstw.,Ja choroba dofinansowanie leki można
Jak długo trwa przemoc w rodzinie?,Rodzina przemoc jak długo
Psycholog myśli że sprawa jest bardzo trudna.,Psycholog myśleć sprawa trudna
Nasz syn ma kłopoty z narkotykami i dopalaczami.,Syn narkotyki dopalacze problem
Jakie plany i marzenia ma Pani córka?,Twoja córka co marzenie
Jakie plany i marzenia ma Pana córka?,Twoja córka co marzenie
Jakie plany i marzenia ma Pani córka?,Twoja córka jakie marzenie
Jakie plany i marzenia ma Pana córka?,Twoja córka jakie marzenie
Czy wiesz jakie są przyczyny agresji?,Agresja powód jak
Czy wiesz jakie są przyczyny agresji?,Agresja powód dlaczego
Proszę przypomnieć sobie co się jeszcze wydarzyło.,Co wydarzyło ty przypomnij
Czy ma Pani zaświadczenie o zarobkach?,Ty zarobki zaświadczenie mieć
Czy ma Pan zaświadczenie o zarobkach?,Ty zarobki zaświadczenie mieć
Gdzie mogę otrzymać dodatek mieszkaniowy?,Dodatek mieszkaniowy gdzie otrzymać jak
Gdzie mogę otrzymać dodatek mieszkaniowy?,Dodatek mieszkaniowy gdzie załatwić jak
Czy w moim powiecie mogę otrzymać mieszkanie socjalne?,Mieszkanie socjalne powiat ja otrzymać można
O której godzinie przyjdzie pracownik socjalny?,Pracownik socjalny która godzina przyjsc
Ja nie rozumiem wszystkich pytań z ankiety.,Pytania ankieta ja nie rozumieć
Czy pracownik socjalny umie migać?,Pracownik socjalny migać umieć
Ja nie umiem dobrze czytać i pisać.,Ja czytać pisać słabo
Ja nie umiem dobrze czytać i pisać.,Słabo czytam piszę
Dlaczego Pani nie szuka pracy?,Ty praca nie mieć dlaczego nie szukać pracy
Dlaczego Pan nie szuka pracy?,Ty praca nie mieć dlaczego nie szukać pracy
Ja nie chce pracować bo mam rentę.,Ja mieć renta praca nie chcieć
Czy Pani ma rodzinę?,Ty rodzina mieć
Czy Pan ma rodzinę?,Ty rodzina mieć
Czy Pani ma syna czy córkę?,Ty syn córka mieć
Czy Pan ma syna czy córkę?,Ty syn córka mieć
Czy Pani ma syna czy córkę?,Czy masz syn czy córka
Czy Pan ma syna czy córkę?,Czy masz syn czy córka
Proszę pokazać legitymację.,Ja prosić ty legitymacja pokazać
Czy ma Pani dokumenty?,Ty dokumenty mieć
Czy ma Pan dokumenty?,Ty dokumenty mieć
Proszę czekać na przyjazd rodziny.,Ja prosić ty czekać twoja rodzina przyjechać
Kiedy przyjdzie tłumacz języka migowego?,Tłumacz migać kiedy przyjść
Kiedy przyjdzie tłumacz języka migowego?,Czekać tłumacz przyjdzie
Proszę powiedzieć czy ma Pani dzieci?,Ty dzieci mieć
Proszę powiedzieć czy ma Pan dzieci?,Ty dzieci mieć
Jaki ma Pani numer domu?,Ty dom numer jaki mieć
Jaki ma Pan numer domu?,Ty dom numer jaki mieć
Jaki ma Pani numer domu?,Jaki twój dom numer
Jaki ma Pan numer domu?,Jaki twój dom numer
Czy potrzebuje Pani pomocy?,Ty pomagać potrzeba
Czy potrzebuje Pan pomocy?,Ty pomagać potrzeba
Czy potrzebuje Pani pomocy?,Czy ty pomagać potrzeba
Czy potrzebuje Pan pomocy?,Czy ty pomagać potrzeba
Mąż codziennie chodzi do pracy.,Mąż praca codziennie iść
Żona codziennie chodzi do pracy.,Żona praca codziennie iść
Proszę wpisać nip.,Ty nip pisać tu
Jakie Pani ma obywatelstwo?,Ty obywatelstwo jakie
Jakie Pan ma obywatelstwo?,Ty obywatelstwo jakie
Moja siostra jest panną.,Moja siostra panna być
Proszę przynieść akt małżeństwa.,Ty akt małżeństwo przynieść
Proszę przynieść akt małżeństwa.,Ty akt małżeństwo dać
Od tej decyzji może Pani odwołać się do sądu w terminie 30 dni.,Decyzja odwołanie można 30 dni termin
Od tej decyzji może Pan odwołać się do sądu w terminie 30 dni.,Decyzja odwołanie można 30 dni termin
Ja mam orzeczenie o umiarkowanym stopniu niepełnosprawności.,Ja orzeczenie umiarkowany stopień mieć
Proszę o wypis z księgi wieczystej.,Ty ksiega wieczysta wypis potrzeba mieć
Proszę o wypis z księgi wieczystej.,Ty ksiega wieczysta wypis potrzeba dać
Ten mężczyzna jest niezdolny do pracy.,Ten mężczyzna praca niezdolny
Lekarz orzecznik komisji lekarskiej przyjmuje w gabinecie numer 7.,Lekarz komisja pokój 7 przyjmować
Moja rodzina jest biedna i potrzebuje pomocy.,Moja rodzina bieda pomoc potrzeba
Czy moje dzieci mogą otrzymać pomoc w nauce?,Moje dzieci nauka pomoc można
Moja rodzina otrzymała pomoc żywnościową z mops-u.,Moja rodzina pomoc żywność mops otrzymac udało
Ja nie mogę jeść mięsa.,Ja mięso jeść nie wolno
Dzisiaj nie było wody w domu.,Ciepła woda dziś dom nie było
Dzisiaj nie było wody w domu.,Mój dom nie ma wody
Czy zrobić Pani kawę czy herbatę?,Ty herbata kawa chcieć
Czy zrobić Panu kawę czy herbatę?,Ty herbata kawa chcieć
Dla dzieci trzeba codziennie gotować obiady.,Ty obiad dzieci codziennie gotować
Czy osoby chore mogą pić kawę?,Chory kawa pić można
Na śniadanie trzeba kupić chleb mleko i ser.,Śniadanie chleb mleko ser kupić trzeba
Dzieci nie mogą pić alkoholu.,Alkohol dzieci nie wolno pić
Na jakiej ulicy jest miejski ośrodek pomocy społecznej?,Mops ulica jak
Na jakiej ulicy jest miejski ośrodek pomocy społecznej?,Mops adres jak
Na jakiej ulicy jest miejski ośrodek pomocy społecznej?,Mops numer jak
Na jakiej ulicy jest miejski ośrodek pomocy społecznej?,Mops nazwa jak
Na jakiej ulicy jest miejski ośrodek pomocy społecznej?,Mops ulica jaki numer
Czy ma Pani rentę socjalną?,Ty renta socjalna mieć
Czy ma Pan rentę socjalną?,Ty renta socjalna mieć
Czy ma Pani rentę socjalną?,Czy ty renta socjalna mieć
Czy ma Pan rentę socjalną?,Czy ty renta socjalna mieć
Jak wyglądają warunki mieszkaniowe Pani rodziny?,Twoje mieszkanie jak wygląda
Jak wyglądają warunki mieszkaniowe Pana rodziny?,Twoje mieszkanie jak wygląda
Jakiej pomocy Pani potrzebuje?,Ty pomoc potrzeba co
Jakiej pomocy Pan potrzebuje?,Ty pomoc potrzeba co
Jakiej pomocy Pani potrzebuje?,Co potrzeba pomoc
Jakiej pomocy Pan potrzebuje?,Co potrzeba pomoc
Jaki jest dochód miesięczny państwa rodziny?,Ty rodzina zarobek miesiąc ile
Proszę dokładnie odpowiedzieć na moje pytanie.,Ja pytać ty odpowiedź dokładnie
Proszę dokładnie odpowiedzieć na moje pytanie.,Proszę ty musieć dokładnie odpowiedź
Proszę usiąść ponieważ będziemy musieli napisać wywiad.,Ja prosić ty siadać wywiad pisać razem musieć
Tu jest rejestracja do lekarza rodzinnego.,Rejestracja lekarz rodzinny tu
Czy można pracować i otrzymywać rentę socjalną?,Praca I renta socjalna można
Kiedy będzie sprawa rozwodowa?,Rozwód sąd kiedy
Codziennie przychodzi do babci pielęgniarka.,Pielęgniarka babcia codziennie przychodzić
Wczoraj był pogrzeb mojego dziadka.,Dziadek pogrzeb wczoraj było
Ja jestem polakiem.,Ja polak
Na kurs języka migowego dostałem dofinansowanie z pfron.,Ja kurs migowy dofinansowanie pfron udało
Gdzie jest sekretariat?,Sekretariat gdzie
Proszę zostawić dokumenty w biurze.,Ty dokumenty biuro zostawić
Czy ma Pani zasiłek pielęgnacyjny?,Ty zasiłek pielęgnacyjny mieć
Czy ma Pan zasiłek pielęgnacyjny?,Ty zasiłek pielęgnacyjny mieć
Będzie Pani miała konsultacje i pomoc psychologiczną.,Ty rozmowa pomoc psycholog mieć
Bałam się o moją rodzinę,Ja rodzina martwić co wydarzyć
Bałam się o moją rodzinę,Ja rodzina bać co wydarzyć
Czy było zagrożenie życia i zdrowia?,Zdrowie życie niebeziecznie być co wydarzyło
Czy mąż pije alkohol?,Twój mąż alkohol pić
Czy była wczoraj interwencja policji?,Policja wczoraj być pomagać
Policja założyła Pani rodzinie niebieską kartę.,Policja niebieska karta twoja rodzina robić
Wczoraj wezwałam policję i pogotowie ponieważ mąż się awanturował i uderzył dziecko.,Ja policja wczoraj wezwać mąż awantura robi
Dzisiaj w nocy ewakuowano wszystkich mieszkańców bloku nr 2 na naszej ulicy.,Noc wszyscy blok wyjść
Dzisiaj w nocy ewakuowano wszystkich mieszkańców bloku nr 2 na naszej ulicy.,Noc wszyscy blok uciekać
Proszę podać datę urodzenia.,Ty urodzić data kiedy
Kiedy ma Pani termin porodu?,Ty poród termin kiedy
Proszę przynieść świadectwo urodzenia córki.,Ty córka świadectwo urodzić przynieść
Czy zakład pracy ubezpiecza pracowników?,Zakład ubezpieczenie pracownicy ma
Jaki jest Pana stan cywilny?,Ty kawaler
Jaki jest Pani stan cywilny?,Ty panna
Jaki jest Pana stan cywilny?,Ty wdowa
Jaki jest Pani stan cywilny?,Ty wdowiec
Kiedy zmarła twoja babcia?,Twoja babcia śmierć kiedy
Jak długo są państwo w separacji?,Separacja wy jak długo
Ja mam skierowanie na komisję zus.,Ja skierowanie komisja mieć
Mój tata jest na świadczeniu przedemerytalnym?,Mój tata świadczenie przedemerytalne mieć
Proszę mi wytłumaczyć co to jest świadczenie rehabilitacyjne.,Proszę wytłumaczyć świadczenie rehabilitacyjne
Dzień dobry Pani proszę usiąść.,Dzień dobry siadać prosić
Dzień dobry Panu proszę usiąść.,Dzień dobry siadać prosić
Jak się Pani nazywa?,Nazwisko ty
Jak się Pan nazywa?,Nazwisko ty
Proszę tu napisać imię i nazwisko.,Nazwisko imię pisać tu
Proszę pokazać dowód osobisty.,Twój dowód osobisty pokazać mi
Jak się Pani czuję?,Ty czuć jak
Jak się Pan czuję?,Ty czuć jak
Czy Pani mnie rozumie?,Ty rozumieć mnie
Czy Pan mnie rozumie?,Ty rozumieć mnie
Proszę do mnie migać powoli.,Ja prosić ty migać powoli
Dziękuję do widzenia.,Dziękować do widzenia
Czy mieszka Pani w domu jednorodzinnym?,Ty dom jednorodzinny mieszkać
Czy mieszka Pan w domu jednorodzinnym?,Ty dom jednorodzinny mieszkać
Proszę pokazać akt zgonu ojca.,Twój ojciec śmierć ty akt zgonu pokazać
Proszę zrobić badanie audiogramem.,Audiogram ty zrobić potrzeba
Czy należy mi się emerytura pomostowa?,Ja emerytura pomostowa można
Czy należy mi się emerytura pomostowa?,Ja emerytura pomostowa uda
Ja pracowałam 5 lat za granicą.,Ja praca za granicą 5 lat
Mój syn był aresztowany za posiadanie narkotyków.,Mój syn narkotyki areszt
Czy mogę starać się o ekwiwalent węglowy na zimę?,Ja ekwiwalent węgiel zima otrzymać
Czy mogę starać się o ekwiwalent węglowy na zimę?,Ja ekwiwalent węgiel zima można
Czy mogę starać się o ekwiwalent węglowy na zimę?,Ja ekwiwalent węgiel zima uda
Ta niebezpieczna sytuacja wkrótce się skończy proszę się nie martwić.,Ty martwić nie musieć kłopot koniec blisko
Czy pamiętasz co się stało?,Co wydarzyło ty pamiętać
Czy pamiętasz co się stało?,Co stało ty pamiętać
O której godzinie jedzie autobus do miasta?,Autobus miasto która godzina jechać
Spotkamy się na przystanku o godzinie 17.00.,Spotkać przystanek godzina 17.00
Pociąg przyjedzie za 40 minut.,Pociąg 40 minut będzie
Idę na pocztę wysłać list.,Ja poczta iść list wysłać
Poproszę 1 znaczek na list.,Ja prosić znaczek list
Wysłałam e-mail do starostwa powiatowego.,Ja email starostwo wysłać
Ile kosztuje bilet miejski w rzeszowie?,Bilet autobus miasto rzeszów ile koszt
Gdzie Pani mieszka?,Ty mieszkać gdzie
Gdzie Pan mieszka?,Ty mieszkać gdzie
Gdzie Pani mieszka?,Ty gdzie mieszkać
Gdzie Pan mieszka?,Ty gdzie mieszkać
Gdzie Pani mieszka?,Gdzie ty mieszkasz
Gdzie Pan mieszka?,Gdzie ty mieszkasz
Czy Pani pracuje?,Ty praca mieć
Czy Pan pracuje?,Ty praca mieć
Jaki Pani ma zawód?,Ty zawód jak wygląda
Jaki Pan ma zawód?,Ty zawód jak wygląda
Jaki Pani ma zawód?,Jaki ty zawód
Jaki Pan ma zawód?,Jaki ty zawód
Jaki Pani ma stopień niepełnosprawności?,Ty inwalida stopień jak wygląda
Jaki Pan ma stopień niepełnosprawności?,Ty inwalida stopień jak wygląda
Czy ma Pani orzeczenie o niepełnosprawności na stałe?,Ty orzeczenie niepełnosprawny stałe mieć
Czy ma Pan orzeczenie o niepełnosprawności na stałe?,Ty orzeczenie niepełnosprawny stałe mieć
Ja jestem bezrobotny i szukam pracy.,Ja praca nie mieć ja praca szukać
Ile ma Pani lat?,Ty lat ile
Ile ma Pan lat?,Ty lat ile
Ile ma Pani lat?,Ile masz lat
Ile ma Pan lat?,Ile masz lat
Ja pracuję w zakładzie pracy chronionej.,Ja praca zakład ochrona
Ja mam zasiłek dla bezrobotnych od 2 miesięcy.,Ja zasiłek bezrobotny mieć 2 miesiąc
Czy Pani ma emeryturę czy rentę?,Ty emerytura renta mieć
Czy Pan ma emeryturę czy rentę?,Ty emerytura renta mieć
Którą ma Pani grupę renty?,Ty emerytura renta grupa jak wygląda
Którą ma Pan grupę renty?,Ty emerytura renta grupa jak wygląda
Którą ma Pani grupę renty?,Jaka ma grupa renty I II III
Którą ma Pan grupę renty?,Jaka ma grupa renty I II III
Gdzie mam wpisać pesel.,Pesel pisać gdzie
Gdzie mam wpisać pesel.,Pesel potrzeba gdzie
Od 3 miesięcy otrzymuję rentę inwalidzką.,Ja renta 3 miesiące już mieć
Czy ma Pani telewizor w domu?,Ty telewizor dom mieć
Czy ma Pan telewizor w domu?,Ty telewizor dom mieć
Czy ma Pani telewizor w domu?,Czy masz telewizor
Czy ma Pan telewizor w domu?,Czy masz telewizor
Czy w domu jest łazienka?,Ty łazienka dom mieć
Czy w domu jest łazienka?,Czy masz łazienkę
To jest numer pogotowia ratunkowego 999.,Pogotowie ratunkowe telefon numer 999
Musimy Panią zbadać.,Ty badanie musieć
Musimy Pana zbadać.,Ty badanie musieć
Trzeba wezwać pogotowie.,Pogotowie wezwać musieć
Pan miał zawał serca.,Ty zawał było
Pan miał zawał udar.,Ty udar było
Pan miał zawał wylew.,Ty wylew było
Pani miała zawał serca.,Ty zawał było
Pani miała zawał udar.,Ty udar było
Pani miała zawał wylew.,Ty wylew było
Musimy zabrać Panią do szpitala.,Ty szpital jechać musieć
Musimy zabrać Pana do szpitala.,Ty szpital jechać musieć
Damy Pani zastrzyk.,Ty zastrzyk musieć
Damy Pani zastrzyk.,Ty zastrzyk mieć
Damy Panu zastrzyk.,Ty zastrzyk musieć
Damy Panu zastrzyk.,Ty zastrzyk mieć
Damy Pani kroplówka.,Ty kroplówka musieć
Damy Pani kroplówka.,Ty kroplówka mieć
Damy Panu kroplówka.,Ty kroplówka musieć
Damy Panu kroplówka.,Ty kroplówka mieć
Zbadamy Pani tętno.,Ty tętno badać musieć
Zbadamy Panu tętno.,Ty tętno badać musieć
Zbadamy Pani ciśnienie.,Ty ciśnienie badać musieć
Zbadamy Panu ciśnienie.,Ty ciśnienie badać musieć
Proszę oddychać.,Prosić teraz ty oddychać
Zrobimy prześwietlenie.,Ty prześwietlenie być
Zrobimy usg.,Ty usg być
Zrobimy ekg.,Ty ekg być
Zrobimy rezonans.,Ty rezonans być
Zrobimy tomograf.,Ty tomograf być
Co się stało?,Stało co
Proszę usiąść na wózek inwalidzki.,Ja prosić ty wózek inwalidzki siadać
Rak to choroba trudna do leczenia.,Rak leczenie trudno
Proszę się nie martwić będzie dobrze.,Prosić ty dobrze będzie martwić nie
Proszę oddychać zbadam płuca.,Prosić ty teraz oddychać ja płuca badać musieć
Trzeba zrobić prześwietlenie.,Ty prześwietlenie zrobić musieć
Trzeba zrobić usg.,Ty usg zrobić musieć
Trzeba zrobić ekg.,Ty ekg zrobić musieć
Trzeba zrobić rezonans.,Ty rezonans zrobić musieć
Trzeba zrobić tomograf.,Ty tomograf zrobić musieć
Ja jestem zmęczona.,Ja zmęczenie
Mam problemy z ciśnieniem.,Ja ciśnienie problem
Jakie masz ciśnienie krwi?,Ty ciśnienie krwi jak wyglądać
Operacja jest ryzykowna.,Operacja ryzyko jest
Trzeba kupić krople do oka.,Ja krople oko kupić musieć
Trzeba kupić krople ucha.,Ja krople ucho kupić musieć
Trzeba kupić krople nosa.,Ja krople nos kupić musieć
Jestem w szpitalu.,Ja szpital jest
Pani musi mieć operację.,Ty operacja musieć
Pan musi mieć operację.,Ty operacja musieć
Jakie ma Pani stanowisko pracy?,Ty praca stanowisko jak wygląda
Jakie ma Pan stanowisko pracy?,Ty praca stanowisko jak wygląda
Co robisz w pracy?,Ty praca robić co?
Ja jestem bezrobotny.,Nie mam praca
Ja nie pracuję jestem na rencie.,Nie mam praca mam renta
Ja nie pracuję jestem na emeryturze.,Nie mam praca mam emerytura
Ja mam II grupa renty.,II grupa renta ja mieć
Ja mam III grupa renty.,III grupa renta ja mieć
Ja mam 2 grupa renty.,II grupa renta ja mieć
Ja mam 3 grupa renty.,III grupa renta ja mieć
Ja mam III grupę nie mam renty.,Ja III grupa mieć renta nie mieć
Ja mam 3 grupę nie mam renty.,Ja III grupa mieć renta nie mieć
Ja mam zasiłek dla bezrobotnych.,Ja zasiłek bezrobotny mieć
Ile masz renty?,Ty renta ile
Ile masz emerytury?,Ty emerytura ile
Ile masz lat pracy?,Ty praca lat ile
Ja pracuję 20 lat.,Już 20 lat praca
Ja szukam pracy.,Ja praca szukać
Proszę pokazać dowód osobisty.,Prosić ty dowód pokazać
Proszę dać dowód osobisty.,Prosić ty dowód dać
Proszę pokazać ubezpieczenie.,Prosić ty ubezpieczenie pokazać
Proszę dać ubezpieczenie.,Prosić ty ubezpieczenie dać
Proszę się tu położyć.,Prosić ty położyć tu
Proszę iść do gabinetu badań.,Prosić ty gabinet badanie iść
Pani będzie badana.,Ty badanie mieć
Pan będzie badany.,Ty badanie mieć
Pani będzie mieć badanie krwi.,Ty krew badanie mieć
Pan będzie mieć badanie krwi.,Ty krew badanie mieć
Pani będzie mieć badanie moczu.,Ty mocz badanie mieć
Pan będzie mieć badanie moczu.,Ty mocz badanie mieć
Pani musi zostać w szpitalu.,Ty szpital zostać musieć
Pan musi zostać w szpitalu.,Ty szpital zostać musieć
Kogo mamy zawiadomić?,Ty rodzina mieć my zawiadomić musieć
Kogo mamy zawiadomić?,Ty kolega mieć my zawiadomić musieć
Proszę podać kontakt do rodziny.,Ty telefon rodziny mieć
Proszę podać kontakt do rodziny.,Ty telefon rodziny dać
Proszę podać kontakt do rodziny.,Ty sms rodziny mieć
Proszę podać kontakt do rodziny.,Ty sms rodziny dać
Proszę zostawić ubranie w szatni.,Ty ubranie szatnia zostawić
Proszę ubranie dać rodzinie.,Ty ubranie rodzinie dać
Pani musi mieć operację.,Ty operacja mieć musieć
Pan musi mieć operację.,Ty operacja mieć musieć
Ja słabo widzę I noszę okulary.,Słabo widzę dlatego okulary mieć
Ja słabo słyszę I noszę aparat słuchowy.,Słabo słyszę dlatego aparat mieć
Pani musi czekać na konsultację z lekarzem.,Ty czekać lekarz spotkanie
Pan musi czekać na konsultację z lekarzem.,Ty czekać lekarz spotkanie
Do lekarza można rejestrować się telefonicznie.,Lekarz rejestracja tel. można
Do lekarza można rejestrować się sms.,Lekarz rejestracja sms można
Do lekarza można rejestrować się e-mail.,Lekarz rejestracja email można
Lekarz za chwile przyjdzie proszę czekać.,Prosić ty czekać lekarz za chwilę przyjść
Pielęgniarka za chwile przyjdzie proszę czekać.,Prosić ty czekać pielęgniarka za chwilę przyjść
Pani jest chora na grypę.,Ty choroba grypa
Pan jest chory na grypę.,Ty choroba grypa
Pani jest chora na anginę,. ty choroba angina
Pan jest chora na anginę.,Ty choroba angina
Papierosy niszczą zdrowie.,Papierosy zdrowie niszczyć
Alkohol niszczy zdrowie.,Alkohol zdrowie niszczyć
Narkotyki niszczą zdrowie.,Narkotyki zdrowie niszczyć
Pani ma reumatyzm.,Ty choroba reumatyzm
Pan ma reumatyzm.,Ty choroba reumatyzm
Pani ma nowotwór-rak.,Ty choroba rak
Pan ma nowotwór-rak.,Ty choroba rak
Muszę zanieść wyniki badań lekarzowi.,Wyniki badanie moje do lekarz dać muszę
Muszę zanieść wyniki badań lekarzowi.,Wyniki badanie moje lekarz dać muszę
Proszę jutro przynieść audiogram.,Ty audiogram jutro przynieść
Kiedy Pani wykona badanie krwi?,Ty badanie krwi wykonasz kiedy
Kiedy Pan wykona badanie krwi?,Ty badanie krwi wykonasz kiedy
Kiedy Pani przyniesie skierowanie?,Ty skierowanie przynieść kiedy
Kiedy Pan przyniesie skierowanie?,Ty skierowanie przynieść kiedy
Gdzie jest szpital?,Szpital gdzie
Gdzie jest apteka?,Apteka gdzie
Gdzie jest szatnia w szpitalu?,Szpital w tym szatnia gdzie
Gdzie jest szatnia w przychodni?,Przychodnia w tym szatnia gdzie
Pani jest poważnie chora.,Ty choroba poważnie
Pan jest poważnie chory.,Ty choroba poważnie
Ja złamałam nogę na ulicy.,Ja noga ulica złamać
Ja złamałam rękę na ulicy.,Ja ręka ulica złamać
Ja złamałem nogę na ulicy.,Ja noga ulica złamać
Ja złamałem rękę na ulicy.,Ja ręka ulica złamać
Nie mam tabletek przeciwbólowych.,Ja tabletki przeciw ból nie mieć
Czy Pani dobrze widzi I słyszy?,Ty widzieć słyszeć dobrze
Czy Pan dobrze widzi I słyszy?,Ty widzieć słyszeć dobrze
Pani potrzebna jest rehabilitacja.,Ty rehabilitacja musieć
Panu potrzebna jest rehabilitacja.,Ty rehabilitacja musieć
Pani będzie mieć kroplówkę.,Ty kroplówka mieć
Pan będzie mieć kroplówkę.,Ty kroplówka mieć
Pani będzie mieć zastrzyki.,Ty zastrzyki mieć
Pan będzie mieć zastrzyki.,Ty zastrzyki mieć
Pani ma grypę I musi codziennie brać tabletki.,Ty grypa mieć codziennie tabletki brać
Pan ma grypę I musi codziennie brać tabletki.,Ty grypa mieć codziennie tabletki brać
Pani ma anginę I musi codziennie brać tabletki.,Ty angina mieć codziennie tabletki brać
Pan ma anginę I musi codziennie brać tabletki.,Ty angina mieć codziennie tabletki brać
Ma Pani tydzień zwolnienia.,Ty tydzień zwolnienie mieć
Ma Pan tydzień zwolnienia.,Ty tydzień zwolnienie mieć
Na recepcie ma Pani zapisane tabletki na gardło.,Recepta tu zapisać ty mieć tabletki gardło
Na recepcie ma Pan zapisane tabletki na gardło.,Recepta tu zapisać ty mieć tabletki gardło
Na recepcie ma Pani zapisane leki na gardło.,Recepta tu zapisać ty mieć tabletki gardło
Na recepcie ma Pan zapisane leki na gardło.,Recepta tu zapisać ty mieć tabletki gardło
Pani jest w ciąży.,Ty ciąża jest
Kiedy Pani będzie rodzić?,Ty poród kiedy
Pani ma termin porodu na 15 grudzień.,Ty poród grudzień 15
Pani ma termin porodu na 28 grudzień.,Ty poród grudzień 28
